origin;destination;number
36500001;30001624;10.0
37970007;12000013;10.0
30001336;30000812;10.0
30002512;30001336;10.0
30000425;other;180.0
30001144;10560001;10.0
30001632;30001146;10.0
37970007;12000014;10.0
30000135;30000543;10.0
30000821;30001021;10.0
30001625;30001345;10.0
30001622;30001024;10.0
30000914;30000426;20.0
30001141;30001221;10.0
26100014;30000847;10.0
37300004;other;630.0
30002612;30000522;10.0
30000914;30000421;20.0
30000853;30000511;10.0
30001133;30001043;10.0
36160006;30002412;10.0
30001622;30001021;10.0
30001122;30000924;10.0
30001643;30002512;10.0
7790001;30001124;10.0
30000411;30002112;10.0
30001123;30002111;10.0
30002512;30001345;10.0
10150005;30002811;10.0
30001124;30002811;10.0
12000012;30000812;10.0
30000424;30001032;10.0
30002612;30002711;20.0
30001353;30002611;10.0
36160010;30001021;10.0
30001622;30001012;10.0
4720001;30000543;10.0
30000914;30000411;10.0
30001147;10560001;30.0
30001222;30001032;10.0
30000514;30000432;10.0
30002112;36440001;10.0
30000511;37800006;10.0
30000511;37800007;10.0
30001351;other;300.0
30000122;26100032;10.0
30000432;30001216;10.0
30001131;other;100.0
30001223;30002611;10.0
other;30001141;20.0
30000413;30000542;10.0
30001141;30001124;20.0
36500001;36160002;60.0
other;30001146;20.0
30001035;30001146;10.0
30001035;30001147;10.0
30000862;30001345;10.0
30000114;other;640.0
30000824;30000912;10.0
30002612;30001032;20.0
30001035;30001141;10.0
36500001;36160007;10.0
other;30001142;10.0
36500001;36160008;20.0
other;30001143;10.0
30000824;30000915;10.0
30001353;other;90.0
30000932;30002411;20.0
26100024;other;250.0
30001141;30001114;10.0
30000864;other;180.0
37970007;26100037;30.0
37970007;26100034;20.0
30002211;30001345;10.0
30000932;30002412;10.0
30001314;30001114;10.0
30001643;30000811;10.0
37970007;26100038;10.0
37300001;30000924;10.0
26100031;30000511;20.0
30000934;30000811;10.0
30001013;30000914;20.0
30000513;36160003;10.0
30001147;30001622;10.0
30000821;30002311;10.0
30001141;30001147;10.0
30001141;30001146;30.0
30000412;30002411;10.0
30001013;other;310.0
other;30001124;10.0
12000034;30000543;10.0
30001123;30000812;10.0
12000012;30002111;10.0
30000932;30001114;10.0
30001212;30001313;10.0
other;30001123;10.0
other;30001121;10.0
36160002;30001345;10.0
30000424;30001114;10.0
26100031;37970007;10.0
12000014;30000511;10.0
30001211;30001013;10.0
26100031;37970009;20.0
30002811;30000924;10.0
26100031;37970008;10.0
30001042;other;120.0
26100036;12000034;10.0
30000836;30000848;10.0
30000934;30000848;10.0
30001143;30000848;10.0
30000934;30000841;10.0
30002613;30001345;10.0
12000022;30000511;20.0
30001141;30001134;10.0
7400001;36160007;10.0
30001344;30000811;10.0
30002212;30002412;30.0
30000848;30000411;10.0
30002212;30002411;20.0
30000123;30000924;10.0
30002612;30001021;20.0
30000824;30000924;10.0
30000123;30000923;10.0
36160008;30000848;10.0
30002311;other;360.0
30000422;30000934;40.0
36160002;30001336;10.0
10150002;30001013;10.0
36160002;30001337;10.0
30001015;30002412;20.0
4720001;10150006;30.0
30002711;30001213;10.0
30000433;30000531;20.0
30001632;other;650.0
30000931;30002112;10.0
12000015;other;120.0
30000836;30000853;10.0
30000931;30002111;10.0
36160007;30000543;10.0
30001121;30001141;20.0
26100016;12000033;10.0
37800008;30002811;10.0
30000523;30001352;10.0
30000848;30000821;10.0
30002211;30001313;10.0
30002211;30001312;10.0
30001634;other;360.0
30000434;30000812;10.0
30002512;30000511;10.0
26100034;30001337;10.0
other;7400001;10.0
30001624;36160004;10.0
30001121;30001146;10.0
37800002;30002811;10.0
30001622;30000543;10.0
30001121;30001134;10.0
30001355;other;30.0
30000511;30000512;10.0
30000422;37970007;10.0
36160008;30000821;10.0
10150002;37800005;30.0
30001336;30001624;10.0
12000013;other;140.0
other;26100012;20.0
30000924;30001034;60.0
30000924;30001035;20.0
30000924;30001032;30.0
30001211;30001023;10.0
30002512;37970009;10.0
36160005;other;350.0
30001223;30001345;10.0
30000112;other;350.0
30000934;30000853;10.0
30000135;30000932;10.0
30001216;30002412;10.0
30000848;30000848;10.0
30000413;30000523;10.0
30000914;30000824;10.0
37800006;37800007;10.0
37800006;37800006;10.0
30001146;30001334;10.0
30002311;37970009;10.0
30002311;37970008;10.0
30001221;30001622;10.0
other;26100032;30.0
26100027;other;270.0
30000522;other;160.0
36160009;11370001;10.0
30002512;30000533;10.0
30000864;30000533;20.0
30000531;30000542;10.0
10150006;4720001;10.0
30001321;30001345;10.0
36160007;other;130.0
30001321;30001341;10.0
36160009;36160001;10.0
36160009;36160002;10.0
30002612;30002312;10.0
30000413;30000511;20.0
30000914;30000812;10.0
30002812;other;300.0
30001624;30001146;30.0
36160005;30000822;10.0
30000521;other;190.0
30001212;30002611;10.0
other;26100034;10.0
26100026;other;500.0
30002211;30001322;20.0
30000924;30001016;10.0
30000832;30001034;20.0
30000853;30000923;30.0
30000832;30001032;10.0
30000853;30000924;30.0
30001022;30000915;10.0
30001121;30001114;10.0
30001115;30002512;10.0
30001337;30002811;20.0
12000012;other;200.0
30000824;30000511;20.0
30002412;30000412;10.0
30001211;30000543;10.0
36160004;other;250.0
26100033;26100035;10.0
30001044;other;40.0
10150005;30001023;10.0
26100033;26100033;10.0
10150005;30001021;20.0
26100033;26100032;20.0
30001124;30001141;20.0
30001142;30001012;20.0
30001342;30001631;10.0
30002411;30000111;10.0
26100033;26100036;10.0
12000013;12000022;10.0
30000111;other;40.0
30000433;30001015;20.0
30000122;30001114;10.0
30001011;30000864;10.0
30000831;30001641;10.0
30001644;30001147;10.0
other;36160002;70.0
30002511;26100032;10.0
other;36160007;130.0
other;36160008;140.0
30001214;37970009;10.0
other;36160009;20.0
30002212;30001146;10.0
other;36160003;20.0
10150005;30001011;10.0
other;36160005;10.0
12000013;12000015;20.0
30000421;30002411;20.0
30000421;30002412;10.0
30000123;30000543;20.0
30001013;30000511;20.0
other;11130001;20.0
37800006;30000511;50.0
30000864;30000543;10.0
26100021;other;270.0
30001041;10560001;20.0
30000812;30001021;10.0
30001133;10560001;30.0
30000812;30001023;20.0
30001221;30002511;10.0
30000853;30002212;10.0
10560001;other;20.0
12000014;30000912;10.0
30002411;30000135;10.0
30001313;30002512;10.0
36160003;other;270.0
30001355;30002711;10.0
30001352;30000533;10.0
30001042;30000924;10.0
36160008;30001313;10.0
30000511;30000923;10.0
30000511;30000924;20.0
37800005;36160006;10.0
37800005;36160007;10.0
30000841;30000125;10.0
37800005;36160004;30.0
30001333;30001222;10.0
30000523;30000853;10.0
30001142;30002312;10.0
36160002;37300004;10.0
30001352;30000543;10.0
12000013;12000033;10.0
30002412;30000864;10.0
30000514;30000914;10.0
30000511;30000934;10.0
30000511;30000933;10.0
30001622;30000924;10.0
10150002;36500001;10.0
26100036;26100032;10.0
30002512;30000912;20.0
30000123;30000116;10.0
30000523;30000426;10.0
30000434;30000411;10.0
30001122;37800006;10.0
12000016;other;80.0
36160002;30002612;10.0
12000033;12000014;20.0
30002613;30002613;10.0
30000832;other;200.0
26100022;other;580.0
30002613;30002612;10.0
30000835;other;40.0
30002613;30000432;20.0
30002613;30002611;10.0
30001343;30001032;10.0
30000531;30000931;10.0
30001625;30000923;10.0
30000531;30000934;10.0
30001034;30000863;10.0
30001031;30000842;10.0
other;30001114;10.0
30001334;12000026;10.0
30000523;30000432;10.0
30000411;30000847;10.0
30002512;30000924;20.0
30000411;30000848;10.0
30001634;30001312;10.0
30001215;30000847;10.0
10150002;30001032;10.0
30001215;30000841;10.0
30001042;30000914;10.0
30000422;30000915;10.0
30001012;30001124;10.0
30001012;30001121;10.0
30001043;other;230.0
30001212;30000812;10.0
30002111;30002513;10.0
36160002;other;400.0
30000511;30000915;10.0
30001631;30001345;10.0
36160007;30001011;10.0
30002512;30000932;10.0
30001034;30000853;20.0
other;30002411;10.0
30001321;other;130.0
other;30002412;40.0
26100032;30001215;10.0
30000826;30002411;10.0
30000116;other;240.0
30001221;30001221;20.0
30001015;30001134;10.0
30001142;30001034;10.0
30000433;30001032;10.0
30000434;30000433;10.0
30001142;30001032;10.0
30002311;30000914;20.0
30001313;30001222;10.0
30000411;30000853;20.0
30000826;30002412;10.0
30000864;30002312;10.0
30001631;30001351;10.0
30000834;other;160.0
30001034;30000848;10.0
30001012;30001147;10.0
10150005;30001032;10.0
30001335;30000915;10.0
30001123;30000841;10.0
30001012;30001146;10.0
36160007;36500001;10.0
30000433;30001021;10.0
30001322;other;10.0
30002411;30001034;10.0
30000424;26100031;10.0
10150006;30002611;10.0
12000022;other;350.0
30002613;30000915;10.0
10150002;10150002;10.0
30002311;30001023;10.0
30001041;other;130.0
30001141;30000832;10.0
30002613;30000912;10.0
12000012;30000511;10.0
30002613;30000914;10.0
30001132;30002611;10.0
30001143;30001032;20.0
30001214;37800005;10.0
30001115;30001021;20.0
30002611;30002513;10.0
37800007;11370001;20.0
30002811;30001354;10.0
30000542;30000511;10.0
30000853;30000411;10.0
other;30000846;30.0
30001146;30000821;10.0
30001313;30000511;10.0
30001041;30001221;10.0
other;30000848;20.0
30000522;30000841;10.0
30001215;other;370.0
30000434;30001021;20.0
30001023;30000811;10.0
37970003;other;350.0
36160001;other;160.0
10150006;30000864;10.0
10150002;30000932;10.0
30000121;30000934;10.0
30000812;30000543;10.0
30001632;30001624;10.0
37970007;30000832;10.0
30002112;30000543;20.0
30002613;30000923;10.0
30002613;30000924;20.0
30001115;30001013;20.0
37800002;11370001;20.0
7410001;30001013;10.0
30000834;30000811;10.0
30001015;30000934;40.0
30002811;30001345;20.0
30000523;30000912;10.0
10150006;30000854;10.0
other;30000854;10.0
30000434;30001015;40.0
other;30000853;30.0
30001146;30000812;10.0
30001625;other;410.0
30002111;30001345;10.0
30000924;30000821;10.0
30000811;30001354;10.0
30000432;30000822;10.0
7410001;other;140.0
10150006;30000853;10.0
26100037;26100022;10.0
30002112;30000511;20.0
30002112;30000512;10.0
30002513;other;80.0
37970009;30001023;10.0
11370001;30000932;10.0
30001141;30000854;10.0
37970009;30001022;10.0
26100037;26100026;10.0
30000512;other;60.0
26100032;26100037;10.0
30001143;30001013;10.0
30001143;30001012;10.0
30000541;30002612;10.0
30002112;12000014;10.0
26100032;26100038;10.0
30001143;30001011;10.0
26100032;26100036;40.0
30001643;30001345;20.0
37800004;30001215;10.0
other;30000824;10.0
30000915;30002611;10.0
other;30000826;10.0
26100032;26100033;20.0
26100032;26100034;20.0
30000915;30000432;10.0
30000864;30001021;20.0
26100032;26100031;10.0
26100032;26100032;10.0
37970002;30000832;10.0
37970008;other;150.0
30000112;30000511;10.0
30001321;30000842;10.0
30001632;30001634;10.0
37300001;other;160.0
30000854;30000924;10.0
30002612;30000848;10.0
30002112;30000522;10.0
30001144;30001114;20.0
26100037;26100015;10.0
30002111;30002212;10.0
26100037;26100014;10.0
30002612;30000853;10.0
30001115;30001034;10.0
30001354;30000841;10.0
30000914;30002511;10.0
30000824;30001216;10.0
other;30000841;10.0
30001021;30002411;10.0
36500001;30001322;10.0
30002811;30001322;10.0
30002112;12000021;10.0
30000831;30001021;10.0
12000043;other;350.0
30000136;30000136;10.0
36160005;30001321;10.0
30000915;30000423;10.0
36160008;30001146;10.0
30000915;30000421;10.0
30000513;30000432;10.0
30001344;30001222;10.0
30002312;30002412;10.0
30002312;30002411;10.0
30000858;30000842;10.0
30001623;30002512;10.0
30001011;10560001;20.0
30000915;30000426;20.0
30000433;30000924;30.0
37800005;30002611;10.0
30001142;30000924;10.0
30001213;30001345;20.0
30000433;30000923;20.0
30000424;30000923;30.0
30002513;30001345;10.0
30001034;30000116;10.0
30002811;30001313;10.0
30000432;other;750.0
30001114;30000923;10.0
30001641;other;550.0
30000924;30000853;20.0
30001353;30001215;10.0
30001353;30001213;10.0
12000025;37970007;10.0
30002612;30000832;10.0
36160006;10150006;10.0
30001014;30000848;10.0
30001142;30000912;10.0
11370001;30000521;10.0
36160006;10150004;10.0
30000424;30000934;10.0
other;30000421;10.0
36160006;10150003;10.0
36500001;30001345;10.0
10150006;30000811;10.0
30000821;30000924;10.0
30001114;30000914;10.0
30000513;30001345;10.0
30000424;30000932;10.0
30000864;30001032;10.0
30001222;30001336;10.0
30000924;30000862;10.0
30000915;30000848;20.0
30002711;30000821;10.0
37800008;36500001;20.0
30001121;other;170.0
30000132;other;360.0
30001312;30001344;10.0
30001213;30001321;10.0
36160006;other;140.0
30001144;30001147;10.0
10150002;30000914;20.0
30002211;30000924;10.0
30000432;30000411;20.0
30000824;30002512;20.0
11370001;10150004;10.0
11370001;10150001;10.0
12000015;30002111;10.0
30000542;30000932;20.0
30000523;30000924;10.0
30000847;other;10.0
other;30000864;10.0
11370001;10150005;10.0
12000012;12000033;10.0
30002711;30000854;10.0
30002711;30000853;10.0
10150006;30000842;10.0
30001144;30001146;10.0
30001011;30001041;10.0
10150006;30000841;10.0
30000411;other;250.0
other;37970010;10.0
30002211;30000915;10.0
30002211;30000914;10.0
10150002;30000924;20.0
30002811;30002613;10.0
30002811;30002612;10.0
26100026;12000031;10.0
30001124;30000121;10.0
11130001;30000511;10.0
30000424;30000915;10.0
30002811;30002611;10.0
30000848;30002111;10.0
30001313;30000521;10.0
10150006;30000832;10.0
other;37970009;10.0
other;37970007;30.0
30002511;30001146;20.0
30000924;30000846;10.0
30000924;30000848;20.0
30000423;30000425;10.0
30001132;30000836;10.0
30001122;30000821;10.0
30000432;30002612;10.0
30001011;other;120.0
30000432;30000433;10.0
30001622;30002412;10.0
4720001;30000433;10.0
30001032;30001221;10.0
30002112;other;1290.0
30001624;30000811;10.0
30001044;30001011;10.0
30000112;10150006;10.0
30001142;other;160.0
30000853;30000812;10.0
30000924;30000412;10.0
30000924;30000411;40.0
30000924;30000413;10.0
4720001;30000426;10.0
30000832;30001146;10.0
30000934;30000425;100.0
30001312;30000863;10.0
30000432;30002613;10.0
30000934;30000426;20.0
37300004;30002111;10.0
30001632;30001213;10.0
11130001;other;70.0
30000934;30000423;10.0
30000934;30000424;10.0
30000863;30001345;10.0
30000533;30001031;10.0
30000432;30000421;10.0
30000853;30000822;10.0
30000923;30001221;10.0
37970007;30000435;10.0
30000821;other;200.0
30000934;30000411;100.0
30000931;30002411;20.0
30000522;30000432;20.0
30000924;30000421;20.0
30000522;30000433;10.0
36480001;12000016;10.0
30000853;30000824;10.0
30000832;36500001;10.0
30000853;30000826;10.0
30000432;30000426;10.0
30001011;30001035;20.0
30000931;other;990.0
30000924;30000426;10.0
30001147;30001345;10.0
26100033;other;640.0
30002112;30000116;20.0
30000923;36160004;10.0
30001213;30002612;10.0
30001213;30002611;10.0
30000522;30000426;50.0
30000932;30001633;10.0
30001122;30000847;10.0
30002513;30000832;10.0
30000542;other;130.0
30002513;30000835;10.0
30000522;30000421;20.0
30001015;30000521;40.0
36160006;30000543;10.0
30000522;30000425;20.0
30001042;30001337;10.0
30000915;30000835;10.0
30000423;30000853;10.0
30000423;30000854;10.0
30001644;30000511;10.0
30001013;30002112;10.0
36160003;36160002;10.0
30000433;30000931;10.0
30002911;30000914;10.0
30002312;30002812;20.0
30000413;30000832;10.0
30000822;30002811;10.0
30002312;30002811;50.0
30000433;30000934;10.0
30001015;30000514;20.0
30000854;other;130.0
30001132;30000863;10.0
30000848;30001221;10.0
30001114;30000932;10.0
30000934;30000432;30.0
36160008;36160001;10.0
30000934;30000431;10.0
30001015;30000511;10.0
30001337;other;120.0
37800007;37800002;10.0
36160003;36160006;10.0
30001641;30001626;10.0
30001011;30001013;10.0
36160008;36160008;10.0
36160008;36160007;10.0
30000915;30000824;10.0
30002311;30000543;20.0
37800007;37800006;10.0
30002112;30000123;10.0
36160008;36160003;10.0
30000842;30001146;10.0
30000432;30001321;10.0
30001223;30000543;10.0
30001314;30001021;10.0
30001312;30000425;10.0
30001011;30000134;10.0
30002811;30000864;10.0
30002611;30001222;10.0
30000853;30000853;50.0
30001021;30001114;10.0
30000913;other;90.0
26100038;other;100.0
30000412;30002512;10.0
30000514;30000542;10.0
36160009;30002512;20.0
30000514;30000543;10.0
30001345;30001345;10.0
7800001;30001221;10.0
30001124;10150003;10.0
30000812;other;140.0
30001134;10560001;10.0
30000853;4720001;10.0
30002711;30002611;20.0
30002711;30002612;40.0
30000433;30000523;20.0
30001032;30002512;10.0
30002112;30001022;10.0
11370001;30000914;20.0
30002612;30002611;20.0
30001141;30001313;10.0
30000511;30002412;10.0
26100037;26100035;20.0
10150004;30002411;10.0
30002212;37800005;10.0
30001622;30001114;10.0
30002811;30000853;10.0
30002811;30000854;10.0
30001643;30001334;10.0
30000532;30000425;10.0
30000848;30001641;10.0
30001345;30001337;10.0
30001345;30001335;10.0
30001633;30001312;20.0
30001034;30001035;10.0
30002811;30000856;10.0
30001034;30001033;10.0
other;30000811;10.0
30002611;other;640.0
11370001;30000924;20.0
37970007;37970007;10.0
30000824;30002111;20.0
11370001;other;350.0
30001622;30001146;10.0
30001221;30000811;10.0
30001634;30000931;10.0
30001221;30000812;10.0
30001216;26100031;10.0
30000863;other;80.0
30001625;30002312;10.0
30001132;30000811;10.0
30002512;30001221;20.0
30001034;30001021;30.0
30000924;30000432;10.0
30001034;30001024;10.0
30002811;30000848;20.0
30001352;30001147;10.0
10150002;30000511;10.0
30000832;30002412;10.0
30001032;30001644;10.0
30001353;30001632;10.0
30000915;other;240.0
30000512;30000824;10.0
30000511;11130001;10.0
30002112;30001015;10.0
37970010;other;320.0
30002612;30000411;10.0
30001221;30000824;20.0
30001643;30001313;30.0
30002111;30000912;10.0
30000533;other;20.0
30002111;30000914;10.0
30000522;30000853;10.0
30001024;30001345;10.0
10560001;30001015;10.0
30001016;other;90.0
30001641;30002911;10.0
10560001;30001013;10.0
30001147;30002611;10.0
30002412;30001221;20.0
30002412;30001222;10.0
30000413;30000426;20.0
30001121;30001221;10.0
30000543;30000125;10.0
37300001;10150004;10.0
37800005;other;1060.0
30002512;30000832;10.0
37800004;36160004;10.0
other;30002112;30.0
30001133;30001023;10.0
26100036;30000511;10.0
other;30002111;30.0
30001216;30001222;10.0
30001633;30001345;10.0
30001313;other;190.0
30001032;30000412;10.0
30002811;30000824;10.0
30000422;30000821;10.0
30001337;30000912;10.0
7420001;other;70.0
30000543;30000134;10.0
30000824;other;340.0
30000934;other;410.0
36160002;37800005;20.0
30000543;30000136;10.0
10150005;36160009;10.0
10150005;36160007;10.0
30002811;30000811;10.0
30001643;30000934;10.0
30001222;other;250.0
30001134;37800005;10.0
30001221;30000842;10.0
30001034;other;820.0
10150005;36160002;10.0
30000543;37800007;10.0
30002211;30000134;10.0
12000022;12000034;10.0
30001144;other;430.0
12000022;12000033;10.0
30000121;30000124;10.0
30001213;30000864;10.0
30002111;30000812;10.0
30002711;30001313;10.0
30000135;30000853;10.0
30001351;30000511;10.0
30001625;30001021;10.0
30000824;30000811;10.0
30000824;30000812;10.0
30002111;30000824;10.0
37800007;30000511;40.0
36160002;30002312;10.0
30000434;30000511;10.0
30000864;10150006;10.0
30002711;30001345;30.0
30000433;30000421;10.0
30001213;30000835;10.0
30000932;30001222;10.0
30001123;30000924;20.0
7400001;other;100.0
30001114;30000533;10.0
37800002;37800004;20.0
30001633;30001334;10.0
37800002;37800006;10.0
30000931;30001147;10.0
30000533;30000924;10.0
30002111;30000832;10.0
30001213;30000848;10.0
30000135;30000841;10.0
37800006;30001345;40.0
30002111;30000834;10.0
30000531;30001322;10.0
30001034;30000915;20.0
26100035;12000041;10.0
30001312;30000821;10.0
30001034;30000914;10.0
30001216;30002512;10.0
30001343;30002411;20.0
30000543;30001016;10.0
30000434;30000934;90.0
30000826;30001032;10.0
30000434;30000932;20.0
30002111;30000847;10.0
30000116;37300001;10.0
30000434;30000931;30.0
30002111;30000848;30.0
30000812;30000914;10.0
30001213;30000812;10.0
30002111;30000841;10.0
30000912;30000531;10.0
30001032;30000856;10.0
37800002;30000511;20.0
30001312;30000812;10.0
36160010;other;100.0
30001122;30000853;10.0
30002212;30002312;20.0
30000543;30001021;10.0
30000434;30000924;30.0
30001212;30001624;10.0
30000836;30000511;10.0
30002513;30000923;10.0
30001012;30001641;10.0
30001013;30000832;10.0
30002212;30000136;10.0
30001032;30000848;20.0
30000912;30000542;10.0
30000925;30000511;10.0
30002111;30000853;10.0
30000912;30000543;10.0
4720001;30000914;10.0
30000433;30001321;10.0
30000531;30000426;50.0
30001134;30001013;10.0
30000135;30000812;10.0
30000531;30000425;20.0
30000543;30001034;20.0
30002612;30001337;10.0
30002612;30001336;10.0
30002212;26100013;10.0
30001146;30001213;10.0
30001142;30001314;10.0
