origin;destination;number
30001031;30002512;10.0
30000523;30000124;10.0
36160002;30001032;10.0
26100016;37970002;10.0
26100035;12000022;10.0
30000924;30002211;10.0
12000022;12000041;10.0
30002613;30001021;10.0
30001032;30000832;10.0
30001013;30000824;10.0
30000934;30000521;30.0
30000912;30000512;10.0
36500001;30000848;10.0
30002513;30000914;10.0
26100022;26100021;10.0
30001032;other;660.0
4720001;30000924;40.0
30000531;30000421;40.0
37800006;30001312;10.0
30000934;30000523;20.0
30002612;30001345;10.0
30002111;12000011;10.0
30001641;30002511;10.0
30001011;30000521;10.0
30000932;30002512;10.0
30001336;30002611;10.0
30001114;other;40.0
30000435;other;40.0
37970009;30000511;20.0
30000512;30000426;10.0
30001334;other;160.0
30000512;30000425;20.0
30000531;30000433;20.0
30000934;30000514;50.0
30000531;30000432;10.0
36160002;36500001;10.0
30000512;30000423;10.0
30000934;30000512;10.0
30002111;12000022;10.0
30001337;30000511;10.0
other;30002512;10.0
30001336;30001312;10.0
30002211;30000543;20.0
30000426;30002411;10.0
10150005;30001146;10.0
30001345;30000854;10.0
30002613;37970007;10.0
37970003;30000511;10.0
30002613;37970003;10.0
30002411;30002412;10.0
30000836;30000543;10.0
30002411;30002411;20.0
30001146;30001633;20.0
30000542;30000914;10.0
30002613;30000511;40.0
30000512;30002613;10.0
30002613;30000513;10.0
30002613;30000514;10.0
37970003;37970007;20.0
30002111;12000032;10.0
30001043;10560001;20.0
30000543;30000531;10.0
30001014;30000924;10.0
30001134;30001022;10.0
30002212;30001023;10.0
30000824;30000864;10.0
30000541;30000842;10.0
30001147;other;370.0
37800007;30000924;10.0
30000812;30001353;10.0
10150001;10150002;10.0
30002212;30001021;30.0
12000025;other;120.0
30001352;10560001;10.0
30001042;30000836;10.0
37800008;other;710.0
30002312;30001146;10.0
30000122;30000133;10.0
30002112;30000912;10.0
30000824;30000411;10.0
30002112;30000915;10.0
36160002;30000533;10.0
30000533;30002711;10.0
30001335;30000824;10.0
30001624;30001215;10.0
30001335;30000826;10.0
36160002;30000531;10.0
30001644;30001032;20.0
11370001;36440001;10.0
10150001;other;260.0
30001217;30001335;10.0
12000013;30000541;10.0
30001643;other;990.0
30001034;30000924;60.0
11370001;30000426;10.0
7790001;30000924;10.0
30001344;30001625;10.0
30001624;30001222;10.0
12000041;12000022;10.0
30001335;30000832;10.0
10150005;30001115;10.0
10150005;30001114;10.0
12000016;37970007;20.0
30002112;30000924;50.0
30001124;30001013;10.0
36160002;30000521;10.0
30001124;30001012;10.0
30001034;30000923;10.0
30001114;30000134;10.0
30002411;30001114;10.0
30000421;30002512;10.0
30000125;other;30.0
30000433;30001345;10.0
30000826;other;90.0
30000521;30000847;10.0
30001351;37800005;10.0
30002613;30000543;10.0
26100033;37970008;10.0
26100033;37970009;10.0
30002812;30002812;20.0
30000923;30000846;10.0
30000923;30000848;10.0
26100033;37970007;10.0
30001034;30000511;20.0
30001644;other;310.0
30002911;other;360.0
30000824;30000832;10.0
other;30001221;10.0
30000834;30000842;10.0
30000824;30000836;10.0
36160005;30000511;10.0
30001345;30000812;10.0
30001123;30000511;10.0
10150006;other;310.0
30000424;30000521;20.0
2080001;other;160.0
30000424;30000523;20.0
30000434;30000531;20.0
30001143;30000543;10.0
36160010;10150006;10.0
30000123;30002411;10.0
other;30001217;10.0
36160010;10150004;10.0
30000116;30000421;10.0
30002312;30001115;10.0
26100012;other;750.0
30000842;other;120.0
30000864;30002412;10.0
30000512;30001322;10.0
26100015;other;380.0
30000912;30002311;10.0
30000912;30002312;10.0
30000923;30000853;20.0
10150003;other;190.0
30000923;30000857;10.0
30000123;other;270.0
30001013;30000432;10.0
30000824;30000821;10.0
30001115;10560001;10.0
30000434;30000523;20.0
30002611;30000824;20.0
37800002;36500001;10.0
30000434;30000522;10.0
30000116;30000413;10.0
30001337;30002711;10.0
30001043;30001345;10.0
30001122;30001336;10.0
30001114;30001035;10.0
30001132;30001345;10.0
30001114;30001034;10.0
30002611;26100026;10.0
30002211;30000522;10.0
30000824;30000853;30.0
30000933;30000431;10.0
30000523;30000521;10.0
30001643;30000924;10.0
30001011;30000912;10.0
30001141;30000811;10.0
30001345;30000832;10.0
30001221;30001345;10.0
30000824;30000858;10.0
30001011;30000914;10.0
36160010;30000847;10.0
37970008;30000432;10.0
30002611;30000832;20.0
30000811;30000834;10.0
30002411;36160002;10.0
36160008;30001633;10.0
30000932;36500001;10.0
30000934;30000924;20.0
10150001;30000824;10.0
30000521;30000812;10.0
30002412;other;200.0
12000026;30000511;10.0
4720001;other;370.0
30000933;30000426;10.0
26100014;other;570.0
36160007;30001146;10.0
30000856;30001032;10.0
11370001;30001314;10.0
30002111;30001321;20.0
30000934;30000915;10.0
30000824;30000841;10.0
30000541;30000863;10.0
30000824;30000842;30.0
30001624;30002511;10.0
30002211;30000511;20.0
30001345;30000824;10.0
30002512;30000824;10.0
other;30001212;10.0
30001624;30002512;10.0
30001352;26100033;10.0
30001624;30002513;10.0
30002512;30000826;10.0
30002613;37800005;10.0
other;30001211;10.0
36160005;30000543;10.0
30002611;26100016;10.0
30000824;30000848;40.0
30002211;30000513;10.0
30002611;30000846;10.0
30000934;30000913;10.0
30001344;30002512;20.0
30000934;30000911;20.0
37800005;30001217;10.0
30000934;30000912;40.0
10150005;other;440.0
37970008;12000041;10.0
30000925;30002311;10.0
30002511;30002513;10.0
30001213;30001023;10.0
30001213;30001021;10.0
30000521;30000431;10.0
37800005;30000511;20.0
30000824;30002411;10.0
30000824;30002412;10.0
12000013;30000924;10.0
30002711;30000915;10.0
30002711;30000914;10.0
30002111;30000121;40.0
30000134;other;550.0
30000853;30001622;10.0
30001146;10150006;10.0
30001015;30000826;10.0
30000412;30000811;10.0
30002512;30001121;10.0
36160006;30000846;10.0
30000411;30000511;20.0
30000832;30002512;50.0
30000532;30001021;10.0
30000832;30002511;10.0
12000034;7800001;10.0
30000923;30000412;10.0
30000812;30000423;10.0
30000923;30000413;10.0
30000521;30000421;10.0
30000531;other;120.0
30002811;30001222;10.0
30000914;30002411;20.0
30000426;30001032;10.0
30000923;30000411;40.0
12000032;12000025;10.0
30002611;30001313;10.0
36160009;30001335;10.0
26100036;other;190.0
30000543;10150003;10.0
30000931;30000511;10.0
12000032;12000021;10.0
30000931;30000514;10.0
30000411;30000521;10.0
30001124;other;140.0
30000413;other;200.0
30000543;10150006;10.0
30000931;30000512;30.0
30002111;30002312;20.0
30001312;30002512;10.0
30002911;30000853;10.0
30002111;30000136;20.0
36500001;37800005;10.0
30000521;30000425;10.0
30000521;30000426;50.0
36500001;37800002;10.0
30001334;30000842;10.0
4720001;30002111;10.0
30000923;30000423;10.0
30000923;30000425;80.0
4720001;30002112;30.0
30000923;30000426;130.0
30001644;30001313;10.0
30001631;30002512;10.0
36160009;30002212;10.0
30000932;30000824;10.0
30002811;30001212;10.0
30000934;30001015;10.0
30000542;30000858;10.0
26100021;30000853;10.0
10150002;30000832;10.0
30002711;30000924;10.0
30001345;37800005;10.0
30000822;30000912;10.0
30001213;30001011;10.0
10150004;30001023;10.0
30002611;30001336;10.0
30002611;30001337;10.0
30000923;30000431;10.0
30000932;30000812;10.0
30001322;30000824;10.0
30000923;30002611;10.0
30000923;30000432;50.0
30000932;30000811;10.0
30002513;30000543;10.0
30000915;30000543;10.0
26100034;12000013;30.0
30001624;30000543;20.0
30000411;30000543;20.0
30001314;30000924;10.0
30000826;30000824;10.0
36500001;other;290.0
30002212;30000914;10.0
30002212;30000915;10.0
30000134;30000914;10.0
30001314;other;30.0
30001115;30001345;10.0
30002513;1270001;10.0
30001625;30002811;10.0
26100012;26100037;10.0
37800007;36500001;10.0
2080001;36500001;10.0
30001124;30001345;10.0
30001354;30000533;10.0
10150005;30001345;10.0
30000853;30002512;30.0
30000412;30000853;10.0
30000914;30001134;10.0
30000931;30000543;10.0
30002212;30000924;10.0
30001034;30002411;20.0
30000826;30000853;10.0
30001035;other;300.0
30001143;30001114;10.0
30000432;30000514;10.0
30002312;30000543;10.0
37800007;36160004;20.0
12000014;30002111;10.0
26100012;26100031;10.0
26100012;26100034;10.0
30000831;30001321;10.0
30001335;other;60.0
26100031;26100034;10.0
26100031;26100035;10.0
30002112;30001313;10.0
26100031;26100037;20.0
36160009;36500001;10.0
26100031;26100038;10.0
30002111;30001021;30.0
37800005;30000543;10.0
30001337;30001351;10.0
other;30000543;40.0
30001217;other;70.0
12000033;other;200.0
30000863;30001021;10.0
30000812;30001312;10.0
1270001;30000116;10.0
30000934;30001021;10.0
30000542;30000848;10.0
10150006;10150002;10.0
30000116;30000135;10.0
30001217;30001146;10.0
10150006;10150004;20.0
10150006;10150003;10.0
36160010;10560001;10.0
30000116;30000134;10.0
30001144;30001012;10.0
30001144;30001011;10.0
26100031;26100032;10.0
30001144;30001013;10.0
30002112;30000432;20.0
36160002;10150004;10.0
30002111;30001032;20.0
30000432;30000531;20.0
30000122;30000924;10.0
30002812;30001345;20.0
30000122;30000923;10.0
30000914;30001114;10.0
other;30000511;160.0
12000033;30000848;10.0
10150005;30001321;10.0
30000812;30001342;10.0
30002611;30002612;10.0
30002611;30002613;10.0
30000923;30001312;10.0
30000412;30000832;10.0
30002611;30002611;10.0
30000931;30000521;50.0
30000931;30000522;20.0
30000915;30000511;20.0
30001624;30000511;10.0
30000434;30001122;10.0
36440001;30001032;10.0
30001035;30000914;30.0
26100012;26100014;10.0
30001144;30001024;10.0
30000422;30001141;10.0
30000511;30002112;10.0
30001626;30000914;10.0
37300003;30000832;10.0
30000432;30000522;10.0
30002111;30001043;10.0
30001044;30000914;10.0
30002911;30000836;10.0
30001123;10560001;10.0
30000114;30002111;10.0
30001354;30000521;10.0
other;30000522;10.0
30002811;30001641;10.0
36160002;36160008;10.0
30000848;30001144;10.0
36160002;36160003;10.0
37970009;26100032;10.0
30000931;30000533;10.0
30000931;30000531;10.0
30001345;30000543;10.0
37970009;26100034;10.0
30001035;30000924;20.0
36160008;30002312;10.0
30002511;other;200.0
10150003;36160002;10.0
30000432;30000523;10.0
30001626;30000912;10.0
26100031;other;560.0
30001121;30000821;10.0
30001144;30001035;10.0
12000021;37970003;10.0
30001031;other;190.0
30002112;30001345;20.0
37800007;10150005;10.0
30001011;30001146;10.0
30000515;30000512;10.0
30001015;30000426;20.0
30002613;other;790.0
30001015;30000425;40.0
30000412;30000412;10.0
36160009;30000413;10.0
30001336;other;140.0
26100037;12000026;10.0
30000934;30000543;10.0
30001345;30001024;10.0
30001633;30001622;10.0
30001343;other;170.0
30001032;30001345;10.0
30000915;30000934;10.0
30000915;30000932;10.0
30002711;30000511;10.0
30001141;30000543;20.0
36160004;30002612;10.0
10150005;30000848;10.0
10150005;30000847;10.0
30000432;30000543;50.0
30000432;30000541;10.0
30001212;30001141;10.0
30001034;30001114;30.0
30001624;30000924;10.0
30000931;30000114;10.0
30000934;30000532;10.0
30000911;other;70.0
30001015;30000411;20.0
30001622;other;780.0
30000915;30000924;10.0
30001632;30001345;20.0
30000853;other;220.0
30000812;30000853;20.0
36480001;other;10.0
30001622;30001222;30.0
30000511;30001216;10.0
30001216;30002613;10.0
30000812;30000856;10.0
12000011;12000022;10.0
30001023;other;40.0
30000932;30000423;20.0
30000923;30001352;10.0
30000932;30000421;20.0
12000034;30001114;10.0
30000435;30000531;10.0
30000932;30000426;90.0
30001121;37970008;10.0
30000932;30000425;60.0
7800001;30002611;10.0
26100031;30001114;20.0
30001032;30001321;10.0
30002711;30002711;10.0
30001042;30001212;10.0
10150002;30002612;10.0
30000514;30002411;10.0
30002412;30001032;10.0
30001622;30001215;20.0
30002612;other;250.0
30001013;30001144;10.0
30000912;other;130.0
30000932;30000411;40.0
30000435;30000543;10.0
36500001;30000511;10.0
30001343;30000848;10.0
30002212;30000511;60.0
30001322;30000422;10.0
30001223;30002412;20.0
30001625;30002412;10.0
30000121;30001021;10.0
10150004;30000123;10.0
30001221;30000914;10.0
30000932;30000841;10.0
30002611;30001342;10.0
30001221;30000912;10.0
30001123;other;180.0
30000542;30002611;10.0
30000858;other;50.0
30000542;30002612;20.0
30002611;30001345;20.0
36500001;30000543;20.0
other;30000924;40.0
26100034;12000026;10.0
30002211;30001032;10.0
30000932;30000848;20.0
30002212;30000523;10.0
26100035;other;170.0
30001147;30000116;10.0
30001132;30000924;30.0
30000423;30000924;10.0
30001221;30000924;40.0
30000824;30001114;20.0
30000134;30001345;20.0
30002611;30001354;10.0
12000015;30000923;10.0
30002611;30001353;10.0
30001216;30000841;10.0
37970007;30000511;30.0
30000422;30002411;10.0
30002211;30001021;10.0
30000532;30000543;10.0
30001123;30001035;10.0
30001344;other;140.0
30000812;30000413;10.0
30002311;30002411;10.0
30000822;30000543;20.0
30000124;30002412;10.0
36160004;30000848;10.0
30000124;30002411;10.0
30001034;30001147;10.0
30001221;30000934;10.0
30000412;30000431;10.0
30002513;30000511;20.0
30001314;30002212;10.0
30001031;30001021;10.0
30000532;30000511;10.0
30002212;30000543;30.0
30001123;30001021;10.0
30001034;30001146;20.0
30000532;other;20.0
30000912;30000914;10.0
30000857;other;10.0
30001034;30001143;10.0
30001633;30001643;10.0
30001022;other;30.0
30002112;30002211;20.0
26100037;12000041;10.0
30000122;30000511;10.0
30000134;30002211;10.0
30001623;other;220.0
30000824;30001132;10.0
30002611;1270001;10.0
30000932;30000853;30.0
26100037;other;560.0
30001012;30000854;10.0
30001342;30002212;10.0
30000412;30000425;10.0
30001031;30001032;10.0
30000412;30000426;20.0
other;30000915;10.0
30001123;30001011;10.0
30000912;30000923;10.0
30001121;7800001;10.0
30000811;other;120.0
26100037;12000031;10.0
37970009;12000015;10.0
30000426;30000515;10.0
30001641;30001334;10.0
30000863;30000543;10.0
30000426;30000511;10.0
30001041;7800001;10.0
30000826;30001351;10.0
26100014;30001114;10.0
30001216;30001345;10.0
30002111;30000924;30.0
36160002;30002411;10.0
36160002;30002412;40.0
30001015;30001351;10.0
30001633;30001221;10.0
2080001;30000543;10.0
30000826;30001345;10.0
30002613;30002411;10.0
30002311;30002911;10.0
30000931;30001032;20.0
30002613;30002412;10.0
37970009;12000026;10.0
30002512;other;70.0
30000932;30001321;20.0
30000523;30002412;10.0
30000136;30000914;10.0
30001144;30000924;20.0
30001016;30002512;10.0
30000856;other;70.0
4720001;30000832;10.0
30000531;30002513;20.0
30001217;30001624;10.0
30000523;36440001;10.0
30001217;30001625;10.0
30001625;30001147;10.0
30001115;30000511;10.0
37970009;12000034;10.0
30001216;other;260.0
30001144;30000934;10.0
37970009;12000031;10.0
11130001;30001132;10.0
30000435;30000931;10.0
30000542;30002111;10.0
26100026;26100034;10.0
30001032;30000511;10.0
30002611;30000914;30.0
30002412;26100038;10.0
26100026;26100037;10.0
30000435;30000934;10.0
30002611;30000915;10.0
30000931;30001012;10.0
30000864;30002911;10.0
4720001;30000848;10.0
30001641;30001344;10.0
30002212;30001321;10.0
30000932;30001345;20.0
30002212;30001322;10.0
30000914;10150002;10.0
30001031;30001114;10.0
26100026;26100022;10.0
30002611;30000924;50.0
26100026;26100026;10.0
12000026;12000043;10.0
30000422;4720001;10.0
37970009;other;440.0
12000026;12000041;10.0
26100023;12000012;10.0
30000931;30001023;20.0
30000931;30001021;20.0
30002613;26100033;10.0
30002412;30001147;10.0
10150005;30000811;10.0
30001223;4720001;10.0
30000854;30001034;10.0
30001221;30000511;10.0
30001336;30000543;10.0
30000412;other;170.0
30001222;30000811;10.0
30001133;30001345;10.0
30000533;30000836;10.0
30002212;30001335;10.0
30002212;30001337;10.0
30001337;30000835;10.0
30001112;30001021;20.0
30000512;30000514;10.0
30002613;30001123;10.0
30001342;37800006;10.0
30001023;30001035;10.0
30000515;30000543;10.0
30000822;30002311;10.0
30002212;30001345;50.0
36160005;36160008;10.0
30000932;30000432;50.0
36160005;36160009;10.0
10150004;30000511;20.0
30000912;30000425;20.0
30000135;other;350.0
36160005;36160006;10.0
30000134;30000413;10.0
30001112;30001032;10.0
30000912;30000421;10.0
26100032;37970009;50.0
26100032;37970008;20.0
12000043;12000015;10.0
26100032;37970007;40.0
10150004;30000543;10.0
30001641;30001313;20.0
30001042;30001131;10.0
30001641;30001312;20.0
36160009;30000511;30.0
12000034;other;480.0
36160003;30000543;10.0
30002613;30001146;10.0
26100034;30001114;10.0
30002711;26100015;10.0
30002613;26100016;10.0
30000848;10150002;10.0
30001042;30001142;10.0
30002612;30001221;10.0
30000133;other;410.0
30000848;10150006;10.0
30002412;30001114;10.0
30000515;30000522;10.0
30002111;37970007;10.0
30002212;30002211;40.0
36160010;30002513;10.0
30002211;30002412;10.0
30001221;30000543;20.0
30000421;30000812;10.0
30001015;30000432;40.0
30000113;30000136;10.0
30001014;30001031;10.0
30002111;30000511;90.0
4720001;30000811;10.0
30000113;30000134;10.0
30000122;30001322;10.0
30001213;30000924;10.0
30001042;30001147;10.0
26100024;30000924;10.0
30001632;30000924;10.0
30002513;30001021;30.0
30000835;30000811;10.0
12000032;other;170.0
30000923;30000924;20.0
30000513;30000848;10.0
12000033;30000426;10.0
30001032;30000932;10.0
30001222;30000858;10.0
10150005;30002111;10.0
26100012;30000511;10.0
7800001;other;100.0
30002613;30002811;100.0
30002111;30000521;10.0
30000832;30000853;10.0
30001321;30002412;10.0
30000832;30000846;10.0
30001134;30001147;10.0
other;30001313;10.0
30001132;30001014;10.0
30000114;30000848;10.0
30000914;30001044;10.0
30000822;30001021;10.0
30002513;30001016;10.0
12000033;30000412;10.0
30000136;30000511;10.0
36160008;30002412;10.0
30001222;30000842;10.0
36440001;30002411;10.0
30002511;30002211;10.0
30002111;30000533;10.0
30000832;30000841;10.0
30002412;12000021;10.0
30002312;30001023;10.0
30001032;30000924;30.0
30000134;30000856;10.0
30002911;30002512;10.0
30001032;30000923;10.0
12000041;37970007;10.0
30000857;30000522;10.0
36160005;10150004;10.0
30001631;30001146;10.0
36160008;10150004;10.0
other;30002612;10.0
30000824;30001624;10.0
30000834;30000543;10.0
30000914;30001034;10.0
30002611;30000511;10.0
30000914;30001035;10.0
30000133;30000543;10.0
30002611;30000514;10.0
30000421;30001314;10.0
30002411;30001222;10.0
30001352;30001624;10.0
30000424;30000421;10.0
30001132;30001023;10.0
30000864;30002512;10.0
36160002;12000032;10.0
30002111;30000543;20.0
30001032;30000915;10.0
30001337;30000856;10.0
30001032;30000914;20.0
30002611;37970009;10.0
12000031;other;10.0
30002611;37970007;10.0
30001032;30000911;10.0
30000931;10150005;10.0
30000932;7790001;10.0
30001337;30000841;10.0
30001624;30001345;10.0
30002312;30001041;10.0
30001142;30001221;20.0
30001342;30000511;10.0
30000424;30000432;10.0
26100012;37970009;10.0
other;30000435;10.0
37800002;1270001;10.0
30000122;30002211;10.0
30001211;other;100.0
30001141;30000914;10.0
10150004;30000924;20.0
30001624;30001312;10.0
other;30001345;30.0
30001634;30002411;10.0
30000857;30000543;10.0
12000026;12000034;10.0
30001354;30001345;10.0
30002211;12000012;10.0
30000432;30000915;10.0
30000134;30000824;10.0
30000832;30000812;10.0
30000432;30000912;10.0
30000413;30002513;10.0
30000857;30000533;10.0
30002811;30001144;10.0
30001644;30001345;10.0
37800005;30001352;10.0
other;other;5240.0
30000125;30002211;10.0
7800001;30000914;10.0
30001345;30000924;10.0
30000533;30000425;10.0
30001211;30002512;10.0
30002811;30001146;10.0
30000421;30000432;10.0
30000421;30002612;10.0
30000424;30000411;10.0
12000026;12000026;10.0
30001214;other;80.0
30002211;12000021;10.0
30000113;30000511;10.0
30002312;30002312;10.0
30000134;30000811;10.0
30002511;30001321;10.0
30001217;30002512;10.0
30001342;4720001;10.0
30000134;30000812;10.0
30001033;30001213;10.0
30001622;30002911;10.0
37800002;30001342;10.0
30000423;30000135;10.0
37800005;30001345;50.0
30000541;30000511;10.0
37800006;11370001;20.0
30000421;30000425;10.0
other;30001321;10.0
30000826;30001322;10.0
30001213;other;190.0
30002411;30002112;10.0
12000026;12000013;10.0
30001313;30002312;10.0
30000432;30000932;10.0
30000134;30000846;10.0
other;37300004;10.0
other;37300002;40.0
30000432;30000934;60.0
30000923;30000511;10.0
30000923;30000512;10.0
30002811;30001122;10.0
30002112;30000846;10.0
30002513;30001032;20.0
30001212;other;320.0
30001114;30001143;10.0
30002112;30000848;20.0
30001141;30000923;10.0
30001114;30001147;10.0
30001141;30000924;40.0
30000421;30000411;20.0
30001214;30002511;10.0
37800006;30002911;10.0
36440001;other;90.0
30002111;30000114;10.0
30000134;30000832;10.0
30002111;30000116;20.0
30000116;30000514;10.0
30001133;1270001;10.0
30000432;30000924;30.0
30000116;30000511;10.0
30000432;30000923;30.0
30000864;30001215;10.0
